KATEGORI	BARCODE	ARTIKEL	NAMA	SIZE		HARGA JUAL	HARGA MODAL	QTY	HARGA NET
HEADWERE	4055014 371994	S 24612	INVISIBLE T 3PP	43 46	INVISIBLE T 3PP;S 24612;43 46	 Rp 129,000 	  75,465.00 	3	  226,395.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055014 718430	S 30266	TIRO LIN TB M	M	TIRO LIN TB M;S 30266;M	 Rp 359,000 	  210,015.00 	6	  1,260,090.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055014 377590	S 30269	TIRO LIN TB M	M	TIRO LIN TB M;S 30269;M	 Rp 359,000 	  210,015.00 	4	  840,060.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055339 359677	S 90222	FINALE 15 SALA 5X	FUTS	FINALE 15 SALA 5X;S 90222;FUTS	 Rp 279,000 	  163,215.00 	28	  4,570,020.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055339 363537	S 90224	FIN 15 CAP	5	FIN 15 CAP;S 90224;5	 Rp 279,000 	  163,215.00 	3	  489,645.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055012 008137	S 90261	OFFPITCHSAL	FUTS	OFFPITCHSAL;S 90261;FUTS	 Rp 558,000 	  326,430.00 	9	  2,937,870.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055011 240965	S 90371	X LESTO	S	X LESTO;S 90371;S	 Rp 99,000 	  57,915.00 	3	  173,745.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4055011 284013	S 90383	X PROLITE	S	X PROLITE;S 90383;S	 Rp 249,000 	  145,665.00 	2	  291,330.00 
HEADWERE	4055011 283986	S 90383	X PROLITE	M	X PROLITE;S 90383;M	 Rp 249,000 	  145,665.00 	3	  436,995.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4051933 903780	W 38565	ACM CLUB ORG	NS	ACM CLUB ORG;W 38565;NS	 Rp 349,000 	  204,165.00 	1	  204,165.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4051934 957836	W 52560	N W F5 SOX 10	39 42	N W F5 SOX 10;W 52560;39 42	 Rp 59,000 	  34,515.00 	1	  34,515.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4051934 958017	W 52566	N EC ANKLE	39 42	N EC ANKLE;W 52566;39 42	 Rp 59,000 	  34,515.00 	16	  552,240.00 
HEADWERE	4051934 958024	W 52566	N EC ANKLE	43 46	N EC ANKLE;W 52566;43 46	 Rp 59,000 	  34,515.00 	10	  345,150.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4051934 958154	W 52568	N EC ANKLE	39 42	N EC ANKLE;W 52568;39 42	 Rp 49,000 	  28,665.00 	34	  974,610.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4051939 783829	W 64793	EC QUART	39 42	EC QUART;W 64793;39 42	 Rp 59,000 	  34,515.00 	11	  379,665.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4051939 783850	W 64794	EC QUART	39 42	EC QUART;W 64794;39 42	 Rp 59,000 	  34,515.00 	4	  138,060.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4051939 784031	W 64812	COL STRP ANKL	39 42	COL STRP ANKL;W 64812;39 42	 Rp 49,000 	  28,665.00 	17	  487,305.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4051932 453101	X 13442	PREDATOR SB	NS	PREDATOR SB;X 13442;NS	 Rp 199,000 	  116,415.00 	0	  -   
HEADWERE					;;		  -   		  -   
HEADWERE	4050956 916203	X 17587	TEN HEADBAND	OSFM	TEN HEADBAND;X 17587;OSFM	 Rp 89,000 	  52,065.00 	2	  104,130.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4051932 345031	X 20991	ADISOCK 12	37 39	ADISOCK 12;X 20991;37 39	 Rp 129,000 	  75,465.00 	1	  75,465.00 
HEADWERE	4051932 345048	X 20991	ADISOCK 13	40 42	ADISOCK 13;X 20991;40 42	 Rp 129,000 	  75,465.00 	5	  377,325.00 
HEADWERE	4051932 345055	X 20991	ADISOCK 14	43 45	ADISOCK 14;X 20991;43 45	 Rp 129,000 	  75,465.00 	1	  75,465.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4051932 345093	X 20992	ADISOCK 12	37 39	ADISOCK 12;X 20992;37 39	 Rp 129,000 	  75,465.00 	2	  150,930.00 
HEADWERE	4051932 345109	X 20992	ADISOCK 13	40 42	ADISOCK 13;X 20992;40 42	 Rp 129,000 	  75,465.00 	4	  301,860.00 
HEADWERE	4051932 345116	X 20992	ADISOCK 14	43 46	ADISOCK 14;X 20992;43 46	 Rp 129,000 	  75,465.00 	1	  75,465.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 858109	Z 11276	LIN PLAIN T 3 PP	35 38	LIN PLAIN T 3 PP;Z 11276;35 38	 Rp 129,000 	  75,465.00 	2	  150,930.00 
HEADWERE	4052552 858031	Z 11276	LIN PLAIN T 3 PP	39 42	LIN PLAIN T 3 PP;Z 11276;39 42	 Rp 129,000 	  75,465.00 	5	  377,325.00 
HEADWERE	4052552 858048	Z 11276	LIN PLAIN T 3 PP	43 46	LIN PLAIN T 3 PP;Z 11276;43 46	 Rp 129,000 	  75,465.00 	2	  150,930.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 858505	Z 11284	LINER RIBT 3PP	35 38	LINER RIBT 3PP;Z 11284;35 38	 Rp 129,000 	  75,465.00 	2	  150,930.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 862014	Z 11427	3S CREW T 3PP	39 42	3S CREW T 3PP;Z 11427;39 42	 Rp 129,000 	  75,465.00 	5	  377,325.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 860483	Z 11432	ADIANKLE HC 3PP	43 46	ADIANKLE HC 3PP;Z 11432;43 46	 Rp 129,000 	  75,465.00 	2	  150,930.00 
HEADWERE	4052552 860911	Z 11432	ADIANKLE HC 3PP	35 38	ADIANKLE HC 3PP;Z 11432;35 38	 Rp 129,000 	  75,465.00 	2	  150,930.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 856952	Z 11555	3S INULIN PLAT	39 42	3S INULIN PLAT;Z 11555;39 42	 Rp 129,000 	  75,465.00 	6	  452,790.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052547 973725	Z 16852	SMU TB 3S	NS	SMU TB 3S;Z 16852;NS	 Rp 449,000 	  262,665.00 	4	  1,050,660.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052548 104913	Z 18324	FB CAPT ARM BAND	OSFM	FB CAPT ARM BAND;Z 18324;OSFM	 Rp 109,000 	  63,765.00 	3	  191,295.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052548 104937	Z 18326	FB CAPT ARM BAND	OSFM	FB CAPT ARM BAND;Z 18326;OSFM	 Rp 109,000 	  63,765.00 	2	  127,530.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052548 151542	Z 19130	PRED FS REPLI	8	PRED FS REPLI;Z 19130;8	 Rp 599,000 	  350,415.00 	1	  350,415.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052548 152389	Z 19138	PRED TRAINING	10	PRED TRAINING;Z 19138;10	 Rp 299,000 	  174,915.00 	1	  174,915.00 
HEADWERE	4052548 152341	Z 19138	PRED TRAINING	8	PRED TRAINING;Z 19138;8	 Rp 299,000 	  174,915.00 	1	  174,915.00 
HEADWERE	4052548 152365	Z 19138	PRED TRAINING	9	PRED TRAINING;Z 19138;9	 Rp 299,000 	  174,915.00 	1	  174,915.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 332654	Z 19759	CONFEED CUP SA 5	FUTS	CONFEED CUP SA 5;Z 19759;FUTS	 Rp 199,000 	  116,415.00 	0	  -   
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 332678	Z 19760	CONFEED CUP SA TR	FUTS	CONFEED CUP SA TR;Z 19760;FUTS	 Rp 299,000 	  174,915.00 	1	  174,915.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 864285	Z 25504	ADICREW HC 1 PP	35 38	ADICREW HC 1 PP;Z 25504;35 38	 Rp 59,000 	  34,515.00 	2	  69,030.00 
HEADWERE	4052552 864216	Z 25504	ADICREW HC 1 PP	39 42	ADICREW HC 1 PP;Z 25504;39 42	 Rp 59,000 	  34,515.00 	3	  103,545.00 
HEADWERE	4052552 864223	Z 25504	ADICREW HC 1 PP	43 46	ADICREW HC 1 PP;Z 25504;43 46	 Rp 59,000 	  34,515.00 	1	  34,515.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 862755	Z 25575	CREW PLAIN T 3P	39 42	CREW PLAIN T 3P;Z 25575;39 42	 Rp 149,000 	  87,165.00 	10	  871,650.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 862335	Z 25582	3S CREW T 1PP	39 42	3S CREW T 1PP;Z 25582;39 42	 Rp 59,000 	  34,515.00 	11	  379,665.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 862175	Z 25584	3S CREW T 3PP	39 42	3S CREW T 3PP;Z 25584;39 42	 Rp 129,000 	  75,465.00 	7	  528,255.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 861000	Z 25598	ADI ANKLE HC 3PP	35 38	ADI ANKLE HC 3PP;Z 25598;35 38	 Rp 129,000 	  75,465.00 	2	  150,930.00 
HEADWERE	4052552 860928	Z 25598	ADI ANKLE HC 3PP	39 42	ADI ANKLE HC 3PP;Z 25598;39 42	 Rp 129,000 	  75,465.00 	5	  377,325.00 
HEADWERE	4052552 860935	Z 25598	ADI ANKLE HC 3PP	43 46	ADI ANKLE HC 3PP;Z 25598;43 46	 Rp 129,000 	  75,465.00 	4	  301,860.00 
HEADWERE					;;		  -   		  -   
HEADWERE	4052552 859311	Z 25984	3S ANKLE T 3PP	43 46	3S ANKLE T 3PP;Z 25984;43 46	 Rp 129,000 	  75,465.00 	4	  301,860.00 
HEADWERE					;;		  -   		  -   
