KATEGORI	BARCODE	ARTIKEL	NAMA	SIZE	NAM;ART;SIZE	HARGA JUAL	HARGA MODAL	QTY	HARGA NET
FOOTWERE	4052557 898193	G 96369	ADILETTE TREFOIL	10	ADILETTE TREFOIL;G 96369;10	 Rp 399,000 	  233,415.00 	5	  1,167,075.00 
FOOTWERE	4052557 898209	G 96369	ADILETTE TREFOIL	11	ADILETTE TREFOIL;G 96369;11	 Rp 399,000 	  233,415.00 	2	  466,830.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4052557 898285	G 96370	ADILETTE TREFOIL	7	ADILETTE TREFOIL;G 96370;7	 Rp 399,000 	  233,415.00 	6	  1,400,490.00 
FOOTWERE	4052557 898292	G 96370	ADILETTE TREFOIL	8	ADILETTE TREFOIL;G 96370;8	 Rp 399,000 	  233,415.00 	15	  3,501,225.00 
FOOTWERE	4052557 898308	G 96370	ADILETTE TREFOIL	9	ADILETTE TREFOIL;G 96370;9	 Rp 399,000 	  233,415.00 	10	  2,334,150.00 
FOOTWERE	4052557 898315	G 96370	ADILETTE TREFOIL	10	ADILETTE TREFOIL;G 96370;10	 Rp 399,000 	  233,415.00 	5	  1,167,075.00 
FOOTWERE	4052557 898322	G 96370	ADILETTE TREFOIL	11	ADILETTE TREFOIL;G 96370;11	 Rp 399,000 	  233,415.00 	2	  466,830.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4052556 737264	G 96753	ADIZERO SLIDE 3 SC	10	ADIZERO SLIDE 3 SC;G 96753;10	 Rp 449,000 	  262,665.00 	0	  -   
FOOTWERE					;;		  -   		  -   
FOOTWERE	4052556 759952	G 95490	DURAMO SLIDE	10	DURAMO SLIDE;G 95490;10	 Rp 179,000 	  104,715.00 	3	  314,145.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4052556 735833	G 96909	RELAVOAM VARIO GR M	6	RELAVOAM VARIO GR M;G 96909;6	 Rp 449,000 	  262,665.00 	1	  262,665.00 
FOOTWERE	4052556 735846	G 96909	RELAVOAM VARIO GR M	9	RELAVOAM VARIO GR M;G 96909;9	 Rp 449,000 	  262,665.00 	2	  525,330.00 
FOOTWERE					;;		  -   		  -   
FOOTWERE	4052556 759822	G 97026	NITROCHARGE SLIDE M	6	NITROCHARGE SLIDE M;G 97026;6	 Rp 449,000 	  262,665.00 	2	  525,330.00 
